periodid,periodname,periodcode,organisationunitid,organisationunitname,organisationunitcode,NUT_PLW screened for acute malnutrition By status Pregnant,NUT_PLW screened for acute malnutrition By status lactating,NUT_Pregnant Women De-Wormed default,NUT_SAM at Beginning of the Month default,NUT_Newborns < 2500 gm default,NUT_MAM at Beginning of the Month default,NUT_Live Births Weighed default,EthioYear,month_name,year_gc,region,EthioMonth,Season,NUT_Children_Weighted_GMP,NUT_Pregnant_Women_IFA_90plus,NUT_SC_Children_TransferredOut,NUT_SC_Children_NonRespondent,NUT_SC_Children_Exit,NUT_SC_Children_Died,NUT_SC_Children_Cured,NUT_SC_Children_Defaulted,NUT_Children_VitaminA,NUT_Children_Dewormed,NUT_Adolescent_Underweight,NUT_SAM_Beginning_SC,NUT_SC_Children_Stabilized,NUT_Children_With_SAM_SC,NUT_SAM_Exits_Total,NUT_SAM_Cure_Rate,NUT_SAM_Mortality_Rate,NUT_MAM_Exits_Total,NUT_MAM_Cure_Rate,NUT_MAM_Mortality_Rate,NUT_PLW_Screened_Total,NUT_PLW_MAM_Rate,NUT_Children_VitaminA_Total,NUT_Children_Admitted_Total,NUT_PLW screened for acute malnutrition By status Pregnant_smoothed,NUT_PLW screened for acute malnutrition By status lactating_smoothed,NUT_Pregnant Women De-Wormed default_smoothed,NUT_SAM at Beginning of the Month default_smoothed,NUT_Newborns < 2500 gm default_smoothed,NUT_MAM at Beginning of the Month default_smoothed,NUT_Live Births Weighed default_smoothed,NUT_Children_Weighted_GMP_smoothed,NUT_Pregnant_Women_IFA_90plus_smoothed,NUT_SC_Children_TransferredOut_smoothed,NUT_SC_Children_NonRespondent_smoothed,NUT_SC_Children_Exit_smoothed,NUT_SC_Children_Died_smoothed,NUT_SC_Children_Cured_smoothed,NUT_SC_Children_Defaulted_smoothed,NUT_Children_VitaminA_smoothed,NUT_Children_Dewormed_smoothed,NUT_Adolescent_Underweight_smoothed,NUT_SAM_Beginning_SC_smoothed,NUT_SC_Children_Stabilized_smoothed,NUT_Children_With_SAM_SC_smoothed,NUT_SAM_Exits_Total_smoothed,NUT_SAM_Cure_Rate_smoothed,NUT_SAM_Mortality_Rate_smoothed,NUT_MAM_Exits_Total_smoothed,NUT_MAM_Cure_Rate_smoothed,NUT_MAM_Mortality_Rate_smoothed,NUT_PLW_Screened_Total_smoothed,NUT_PLW_MAM_Rate_smoothed,NUT_Children_VitaminA_Total_smoothed,NUT_Children_Admitted_Total_smoothed,NUT_Modere_Malnutrition,NUT_Severe_Malnutrition,NUT_TOT_<5_Screened_for_malnutrition,prevalance_acute_malnutration,Acute malnutration rate,IPC_AMN_class,SAM_Rate,IPC_AMN_class_SAM,GPP_mean_ec
200911,Hamle 2009,200911,b3aCK1PTn5S,Federal Ministry Of Health,1000750,95.0,235.0,72.0,29.0,2.0,0.0,10.0,2009,Hamle,2017,Addis Ababa,11,Kiremt,765.0,25.0,8.11,0.1,59.085,1.3175,41.8775,6.45,591.0,340.0,0.0,64.415,36.63,66.575,9.0,1.0,0.0,0.0,0.8729085855421485,0.010221834569181291,1650.0,0.17272727272727273,591.0,7.0,95.0,235.0,72.0,29.0,2.0,0.0,10.0,765.0,25.0,8.11,0.1,59.085,1.3175,41.8775,6.45,591.0,340.0,0.0,64.415,36.63,66.575,9.0,1.0,0.0,0.0,0.8729085855421485,0.010221834569181291,1650.0,0.17272727272727273,591.0,7.0,132.0,18.0,1895.0,150.0,7.9155672823219,Alert (3-10%),0.00949868073878628,Minimal (0-0.5%),0.018177525
200911,Hamle 2009,200911,yY9BLUUegel,Addis Ababa City Administration,1056254,95.0,235.0,40.5,29.0,1.0,0.0,6.5,2009,Hamle,2017,Addis Ababa,11,Kiremt,10.0,35.5,0.785,0.02,2.1275,0.125,4.305,0.01,1144.5,581.0,0.0,1.795,4.6,0.815,9.0,1.0,0.0,0.0,0.92134995961934,0.0031802899819977615,1822.5,0.165311004784689,1144.5,7.0,95.0,235.0,56.25,29.0,1.5,0.0,8.25,387.5,30.25,4.4475,0.060000000000000005,30.60625,0.72125,23.09125,3.23,867.75,460.5,0.0,33.105000000000004,20.615000000000002,33.695,9.0,1.0,0.0,0.0,0.8971292725807443,0.006701062275589527,1736.25,0.16901913875598085,867.75,7.0,127.0,18.0,1895.0,145.0,7.651715039577836,Alert (3-10%),0.00949868073878628,Minimal (0-0.5%),0.018177525
200911,Hamle 2009,200911,UFtGyqJMEZh,Afar Region,1056255,81.59,159.23,1845.597359819102,6.0925,12.55,5.345,1682.915,2009,Hamle,2017,Afar,11,Kiremt,38171.52,2185.815,0.05,0.0,0.0,0.0,0.0,0.0,20738.655,15097.325,0.145,0.0175,0.0,0.0,6.255,0.9522314453949808,5.7171859307277934e-05,2.625,0.9790286900510264,0.003778100255537137,14769.0125,0.11604118650970956,21627.635,9.15,81.59,159.23,1845.597359819102,6.0925,12.55,5.345,1682.915,38171.52,2185.815,0.05,0.0,0.0,0.0,0.0,0.0,20738.655,15097.325,0.145,0.0175,0.0,0.0,6.255,0.9522314453949808,5.7171859307277934e-05,2.625,0.9790286900510264,0.003778100255537137,14769.0125,0.11604118650970956,21627.635,9.15,803.0115284710853,400.8125,1711.2608687284937,1203.8240284710853,70.34719547847513,Extremely Critical (>=30%),0.23422057228353088,Minimal (0-0.5%),0.003547325
200911,Hamle 2009,200911,yb9NKGA8uqt,Amhara Region,1069284,81.59,159.23,106.0,9.3575,0.0,2.4925,252.0,2009,Hamle,2017,Amhara,11,Kiremt,314.0,183.0,0.425,0.02,0.3,0.0,0.625,0.005,486.0,201.0,0.145,0.04,0.0,0.0,8.23,0.9530668207150879,0.0012257415699308178,5.85,0.9481729575546878,0.0011168802119641513,180.0,0.025236593059936908,486.0,9.1575,81.59,159.23,106.0,9.3575,0.0,2.4925,252.0,314.0,183.0,0.425,0.02,0.3,0.0,0.625,0.005,486.0,201.0,0.145,0.04,0.0,0.0,8.23,0.9530668207150879,0.0012257415699308178,5.85,0.9481729575546878,0.0011168802119641513,180.0,0.025236593059936908,486.0,9.1575,622.28,100.135,1711.2608687284937,722.415,42.21536372398739,Extremely Critical (>=30%),0.0585153332433778,Minimal (0-0.5%),0.030062174999999997
200911,Hamle 2009,200911,Fccw8uMlJHN,Benishangul Gumuz Regional Health Bureau,6,81.59,159.23,1845.597359819102,6.0925,12.55,5.345,1682.915,2009,Hamle,2017,Benishangul Gumuz,11,Kiremt,38171.52,2185.815,0.05,0.0,0.0,0.0,0.0,0.0,20738.655,15097.325,0.145,0.0175,0.0,0.0,6.255,0.9522314453949808,5.7171859307277934e-05,2.625,0.9790286900510264,0.003778100255537137,14769.0125,0.11604118650970956,21627.635,9.15,81.59,159.23,1845.597359819102,6.0925,12.55,5.345,1682.915,38171.52,2185.815,0.05,0.0,0.0,0.0,0.0,0.0,20738.655,15097.325,0.145,0.0175,0.0,0.0,6.255,0.9522314453949808,5.7171859307277934e-05,2.625,0.9790286900510264,0.003778100255537137,14769.0125,0.11604118650970956,21627.635,9.15,803.0115284710853,400.8125,1711.2608687284937,1203.8240284710853,70.34719547847513,Extremely Critical (>=30%),0.23422057228353088,Minimal (0-0.5%),0.048010625
200911,Hamle 2009,200911,tDoLtk2ylu4,Central Ethiopian region,1084709,81.59,159.23,9.0,8.5425,0.0,2.4925,0.0,2009,Hamle,2017,Central Ethiopia,11,Kiremt,271.0,7.0,0.405,0.02,0.3,0.0,0.625,0.005,211.0,147.0,0.145,0.035,0.0,0.0,7.755,0.954359892052819,0.0011777166585527693,6.2375,0.9192558073609943,0.0011920436106569617,75.0,0.25333333333333335,211.0,6.5625,81.59,159.23,9.0,8.5425,0.0,2.4925,0.0,271.0,7.0,0.405,0.02,0.3,0.0,0.625,0.005,211.0,147.0,0.145,0.035,0.0,0.0,7.755,0.954359892052819,0.0011777166585527693,6.2375,0.9192558073609943,0.0011920436106569617,75.0,0.25333333333333335,211.0,6.5625,182.2925,23.43,1711.2608687284937,205.7225,12.021691359825025,Serious (10-15%),0.013691658839490107,Minimal (0-0.5%),0.036907725
200911,Hamle 2009,200911,G9hDiPNoB7d,Dire Dawa City Administration,1056248,81.59,159.23,1845.597359819102,6.0925,12.55,5.345,1682.915,2009,Hamle,2017,Dire Dawa,11,Kiremt,38171.52,2185.815,0.05,0.0,0.0,0.0,0.0,0.0,20738.655,15097.325,0.145,0.0175,0.0,0.0,6.255,0.9522314453949808,5.7171859307277934e-05,2.625,0.9790286900510264,0.003778100255537137,14769.0125,0.11604118650970956,21627.635,9.15,81.59,159.23,1845.597359819102,6.0925,12.55,5.345,1682.915,38171.52,2185.815,0.05,0.0,0.0,0.0,0.0,0.0,20738.655,15097.325,0.145,0.0175,0.0,0.0,6.255,0.9522314453949808,5.7171859307277934e-05,2.625,0.9790286900510264,0.003778100255537137,14769.0125,0.11604118650970956,21627.635,9.15,803.0115284710853,400.8125,1711.2608687284937,1203.8240284710853,70.34719547847513,Extremely Critical (>=30%),0.23422057228353088,Minimal (0-0.5%),0.01485465
200911,Hamle 2009,200911,moBiwh9h5Ce,Gambella Region,1056252,81.59,159.23,1845.597359819102,6.0925,12.55,5.345,1682.915,2009,Hamle,2017,Gambella,11,Kiremt,38171.52,2185.815,0.05,0.0,0.0,0.0,0.0,0.0,20738.655,15097.325,0.145,0.0175,0.0,0.0,6.255,0.9522314453949808,5.7171859307277934e-05,2.625,0.9790286900510264,0.003778100255537137,14769.0125,0.11604118650970956,21627.635,9.15,81.59,159.23,1845.597359819102,6.0925,12.55,5.345,1682.915,38171.52,2185.815,0.05,0.0,0.0,0.0,0.0,0.0,20738.655,15097.325,0.145,0.0175,0.0,0.0,6.255,0.9522314453949808,5.7171859307277934e-05,2.625,0.9790286900510264,0.003778100255537137,14769.0125,0.11604118650970956,21627.635,9.15,803.0115284710853,400.8125,1711.2608687284937,1203.8240284710853,70.34719547847513,Extremely Critical (>=30%),0.23422057228353088,Minimal (0-0.5%),0.05123495
200911,Hamle 2009,200911,b9nYedsL8te,Harari Region,1056249,81.59,159.23,1845.597359819102,6.0925,0.0,5.345,1381.0991666666666,2009,Hamle,2017,Harari,11,Kiremt,19793.4625,2040.625,0.05,0.0,0.0,0.0,0.0,0.0,18592.9825,11469.71,0.145,0.0175,0.0,0.0,6.175,0.954217690568726,5.7171859307277934e-05,2.55,0.9790286900510264,0.003778100255537137,15026.8775,0.12341504256379694,19915.035,8.9575,81.59,159.23,1845.597359819102,6.0925,0.0,5.345,1381.0991666666666,19793.4625,2040.625,0.05,0.0,0.0,0.0,0.0,0.0,18592.9825,11469.71,0.145,0.0175,0.0,0.0,6.175,0.954217690568726,5.7171859307277934e-05,2.55,0.9790286900510264,0.003778100255537137,15026.8775,0.12341504256379694,19915.035,8.9575,803.0115284710853,400.8125,1711.2608687284937,1203.8240284710853,70.34719547847513,Extremely Critical (>=30%),0.23422057228353088,Minimal (0-0.5%),0.026238525
200911,Hamle 2009,200911,XU2wpLlX4Vk,Oromia Region,1056258,95.0,235.0,72.0,29.0,2.0,0.0,10.0,2009,Hamle,2017,Oromia,11,Kiremt,755.0,25.0,8.11,0.1,59.085,1.3175,41.8775,6.45,591.0,340.0,0.0,64.415,36.63,66.575,9.0,1.0,0.0,0.0,0.8729085855421485,0.010221834569181291,1650.0,0.17272727272727273,591.0,7.0,95.0,235.0,72.0,29.0,2.0,0.0,10.0,755.0,25.0,8.11,0.1,59.085,1.3175,41.8775,6.45,591.0,340.0,0.0,64.415,36.63,66.575,9.0,1.0,0.0,0.0,0.8729085855421485,0.010221834569181291,1650.0,0.17272727272727273,591.0,7.0,121.0,7.0,1895.0,128.0,6.75461741424802,Alert (3-10%),0.0036939313984168864,Minimal (0-0.5%),0.030186275
