File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD17A2HGF_061_Gpp_500m_doy2017177000000_aid0001,Gpp_500m,aid0001,2017-06-26,244250.0,0.0,0.0571,"(0.0,0.0571)",0.0156918,0.0089845,8.07e-05,0.0209,0.0389,0.0136,0.0,0.0089
MOD17A2HGF_061_Gpp_500m_doy2017185000000_aid0001,Gpp_500m,aid0001,2017-07-04,244250.0,0.0003,0.0608,"(0.0003,0.0608)",0.0162241,0.0099929,9.99e-05,0.0224,0.0435,0.0133,0.0003,0.0083
MOD17A2HGF_061_Gpp_500m_doy2017193000000_aid0001,Gpp_500m,aid0001,2017-07-12,244250.0,0.0,0.0582,"(0.0,0.0582)",0.018997,0.0112164,0.0001258,0.0264,0.0504,0.016,0.0,0.0104
MOD17A2HGF_061_Gpp_500m_doy2017201000000_aid0001,Gpp_500m,aid0001,2017-07-20,244250.0,0.0001,0.0729,"(0.0001,0.0729)",0.0237069,0.0128236,0.0001644,0.0334,0.0629,0.0212,0.0001,0.0137
MOD17A2HGF_061_Gpp_500m_doy2017209000000_aid0001,Gpp_500m,aid0001,2017-07-28,244250.0,0.0003,0.0614,"(0.0003,0.0614)",0.0230775,0.0101344,0.0001027,0.0301,0.0518,0.0219,0.0003,0.0156
MOD17A2HGF_061_Gpp_500m_doy2017217000000_aid0001,Gpp_500m,aid0001,2017-08-05,244250.0,0.0005,0.0665,"(0.0005,0.0665)",0.0243309,0.0117099,0.0001371,0.0321,0.0568,0.0225,0.0005,0.0156
MOD17A2HGF_061_Gpp_500m_doy2017225000000_aid0001,Gpp_500m,aid0001,2017-08-13,244250.0,0.0008,0.058,"(0.0008,0.058)",0.0232227,0.0102586,0.0001052,0.0304,0.0526,0.02175,0.0008,0.0156
MOD17A2HGF_061_Gpp_500m_doy2017233000000_aid0001,Gpp_500m,aid0001,2017-08-21,244250.0,0.0009,0.0595,"(0.0009,0.0595)",0.0245385,0.0109862,0.0001207,0.032,0.0552,0.0227,0.0009,0.0165
MOD17A2HGF_061_Gpp_500m_doy2017241000000_aid0001,Gpp_500m,aid0001,2017-08-29,244250.0,0.0009,0.0676,"(0.0009,0.0676)",0.0303819,0.0118237,0.0001398,0.0382,0.0626,0.0286,0.0009,0.0219
MOD17A2HGF_061_Gpp_500m_doy2017249000000_aid0001,Gpp_500m,aid0001,2017-09-06,244250.0,0.0009,0.0845,"(0.0009,0.0845)",0.0372517,0.0134882,0.0001819,0.0465,0.0751,0.0359,0.0009,0.0274
MOD17A2HGF_061_Gpp_500m_doy2017257000000_aid0001,Gpp_500m,aid0001,2017-09-14,244250.0,0.001,0.0838,"(0.001,0.0838)",0.0340026,0.012988,0.0001687,0.0428,0.0704,0.0324,0.001,0.0244
MOD17A2HGF_061_Gpp_500m_doy2017265000000_aid0001,Gpp_500m,aid0001,2017-09-22,244250.0,0.0012,0.0886,"(0.0012,0.0886)",0.0338988,0.0135091,0.0001825,0.0435,0.0733,0.0321,0.0012,0.0236
MOD17A2HGF_061_Gpp_500m_doy2017273000000_aid0001,Gpp_500m,aid0001,2017-09-30,244250.0,0.002,0.0882,"(0.002,0.0882)",0.0294676,0.0101672,0.0001034,0.0367,0.0587,0.0289,0.002,0.022
MOD17A2HGF_061_Gpp_500m_doy2017281000000_aid0001,Gpp_500m,aid0001,2017-10-08,244250.0,0.0021,0.0947,"(0.0021,0.0947)",0.0291599,0.0111902,0.0001252,0.0359,0.0584,0.0281,0.0021,0.0209
MOD17A2HGF_061_Gpp_500m_doy2017289000000_aid0001,Gpp_500m,aid0001,2017-10-16,244250.0,0.0021,0.0909,"(0.0021,0.0909)",0.0234344,0.0094555,8.94e-05,0.0286,0.0463,0.0222,0.0021,0.0168
MOD17A2HGF_061_Gpp_500m_doy2017297000000_aid0001,Gpp_500m,aid0001,2017-10-24,244250.0,0.0017,0.0983,"(0.0017,0.0983)",0.0201585,0.0090607,8.21e-05,0.0251,0.0423,0.0188,0.0017,0.0136
MOD17A2HGF_061_Gpp_500m_doy2017305000000_aid0001,Gpp_500m,aid0001,2017-11-01,244250.0,0.0023,0.0913,"(0.0023,0.0913)",0.0175624,0.007874,6.2e-05,0.0216,0.0361,0.0163,0.0023,0.0119
MOD17A2HGF_061_Gpp_500m_doy2017313000000_aid0001,Gpp_500m,aid0001,2017-11-09,244250.0,0.0004,0.0909,"(0.0004,0.0909)",0.0149115,0.0076629,5.87e-05,0.0193,0.0341,0.0142,0.0004,0.0094
MOD17A2HGF_061_Gpp_500m_doy2017321000000_aid0001,Gpp_500m,aid0001,2017-11-17,244250.0,0.001,0.0849,"(0.001,0.0849)",0.0135328,0.0064449,4.15e-05,0.0173,0.0302,0.0126,0.001,0.0087
MOD17A2HGF_061_Gpp_500m_doy2017329000000_aid0001,Gpp_500m,aid0001,2017-11-25,244250.0,0.0002,0.0859,"(0.0002,0.0859)",0.0125584,0.0066558,4.43e-05,0.0166,0.0296,0.0116,0.0002,0.0079
MOD17A2HGF_061_Gpp_500m_doy2017337000000_aid0001,Gpp_500m,aid0001,2017-12-03,244250.0,0.0001,0.0851,"(0.0001,0.0851)",0.011262,0.0062562,3.91e-05,0.0151,0.0268,0.0104,0.0001,0.0073
MOD17A2HGF_061_Gpp_500m_doy2017345000000_aid0001,Gpp_500m,aid0001,2017-12-11,244250.0,0.0002,0.0784,"(0.0002,0.0784)",0.010075,0.0055398,3.07e-05,0.0134,0.0236,0.0093,0.0002,0.0066
MOD17A2HGF_061_Gpp_500m_doy2017353000000_aid0001,Gpp_500m,aid0001,2017-12-19,244250.0,0.0,0.0782,"(0.0,0.0782)",0.0093053,0.0056032,3.14e-05,0.0126,0.0226,0.0087,0.0,0.0059
MOD17A2HGF_061_Gpp_500m_doy2017361000000_aid0001,Gpp_500m,aid0001,2017-12-27,244250.0,0.0,0.0473,"(0.0,0.0473)",0.0053414,0.0030176,9.1e-06,0.0069,0.012,0.0051,0.0,0.0035
MOD17A2HGF_061_Gpp_500m_doy2018001000000_aid0001,Gpp_500m,aid0001,2018-01-01,244250.0,0.0016,0.0744,"(0.0016,0.0744)",0.0107761,0.0043849,1.92e-05,0.0132,0.0211,0.0096,0.0016,0.0079
MOD17A2HGF_061_Gpp_500m_doy2018009000000_aid0001,Gpp_500m,aid0001,2018-01-09,244250.0,0.0003,0.0785,"(0.0003,0.0785)",0.0094953,0.0050681,2.57e-05,0.0116,0.0191,0.009,0.0003,0.0066
