File,aid,Date,0,8,16,32,40,48,97,105,113
Psn_QC_500m_2016361_aid0001,aid0001,2016-12-26 00:00:00+00:00,1873.0,,,,,,,,
Psn_QC_500m_2017001_aid0001,aid0001,2017-01-01 00:00:00+00:00,1870.0,,,3.0,,,,,
Psn_QC_500m_2017009_aid0001,aid0001,2017-01-09 00:00:00+00:00,1873.0,,,,,,,,
Psn_QC_500m_2017017_aid0001,aid0001,2017-01-17 00:00:00+00:00,1873.0,,,,,,,,
Psn_QC_500m_2017025_aid0001,aid0001,2017-01-25 00:00:00+00:00,1872.0,1.0,,,,,,,
Psn_QC_500m_2017033_aid0001,aid0001,2017-02-02 00:00:00+00:00,1763.0,107.0,,3.0,,,,,
Psn_QC_500m_2017041_aid0001,aid0001,2017-02-10 00:00:00+00:00,1796.0,65.0,12.0,,,,,,
Psn_QC_500m_2017049_aid0001,aid0001,2017-02-18 00:00:00+00:00,1803.0,68.0,2.0,,,,,,
Psn_QC_500m_2017057_aid0001,aid0001,2017-02-26 00:00:00+00:00,1837.0,29.0,4.0,3.0,,,,,
Psn_QC_500m_2017065_aid0001,aid0001,2017-03-06 00:00:00+00:00,1869.0,4.0,,,,,,,
Psn_QC_500m_2017073_aid0001,aid0001,2017-03-14 00:00:00+00:00,1855.0,17.0,,1.0,,,,,
Psn_QC_500m_2017081_aid0001,aid0001,2017-03-22 00:00:00+00:00,1751.0,116.0,6.0,,,,,,
Psn_QC_500m_2017089_aid0001,aid0001,2017-03-30 00:00:00+00:00,1766.0,96.0,6.0,5.0,,,,,
Psn_QC_500m_2017097_aid0001,aid0001,2017-04-07 00:00:00+00:00,1846.0,18.0,,9.0,,,,,
Psn_QC_500m_2017105_aid0001,aid0001,2017-04-15 00:00:00+00:00,1798.0,73.0,1.0,1.0,,,,,
Psn_QC_500m_2017113_aid0001,aid0001,2017-04-23 00:00:00+00:00,584.0,1227.0,7.0,,,,3.0,52.0,
Psn_QC_500m_2017121_aid0001,aid0001,2017-05-01 00:00:00+00:00,906.0,937.0,20.0,,,,2.0,7.0,1.0
Psn_QC_500m_2017129_aid0001,aid0001,2017-05-09 00:00:00+00:00,1402.0,445.0,16.0,2.0,1.0,,6.0,1.0,
Psn_QC_500m_2017137_aid0001,aid0001,2017-05-17 00:00:00+00:00,1655.0,190.0,16.0,,,,3.0,9.0,
Psn_QC_500m_2017145_aid0001,aid0001,2017-05-25 00:00:00+00:00,1563.0,282.0,4.0,1.0,,,5.0,18.0,
Psn_QC_500m_2017153_aid0001,aid0001,2017-06-02 00:00:00+00:00,1854.0,15.0,,4.0,,,,,
Psn_QC_500m_2017161_aid0001,aid0001,2017-06-10 00:00:00+00:00,1802.0,68.0,,3.0,,,,,
Psn_QC_500m_2017169_aid0001,aid0001,2017-06-18 00:00:00+00:00,1816.0,56.0,,1.0,,,,,
Psn_QC_500m_2017177_aid0001,aid0001,2017-06-26 00:00:00+00:00,1696.0,170.0,,3.0,,,4.0,,
Psn_QC_500m_2017185_aid0001,aid0001,2017-07-04 00:00:00+00:00,1503.0,336.0,10.0,1.0,,,5.0,16.0,2.0
Psn_QC_500m_2017193_aid0001,aid0001,2017-07-12 00:00:00+00:00,1414.0,310.0,33.0,,,,4.0,107.0,5.0
Psn_QC_500m_2017201_aid0001,aid0001,2017-07-20 00:00:00+00:00,1188.0,567.0,38.0,2.0,,1.0,5.0,69.0,3.0
Psn_QC_500m_2017209_aid0001,aid0001,2017-07-28 00:00:00+00:00,1552.0,292.0,4.0,,,,7.0,18.0,
Psn_QC_500m_2017217_aid0001,aid0001,2017-08-05 00:00:00+00:00,153.0,1184.0,88.0,,,,4.0,433.0,11.0
Psn_QC_500m_2017225_aid0001,aid0001,2017-08-13 00:00:00+00:00,1079.0,618.0,94.0,,,,20.0,60.0,2.0
Psn_QC_500m_2017233_aid0001,aid0001,2017-08-21 00:00:00+00:00,1753.0,104.0,1.0,,,,9.0,6.0,
Psn_QC_500m_2017241_aid0001,aid0001,2017-08-29 00:00:00+00:00,773.0,589.0,33.0,,,,11.0,465.0,2.0
Psn_QC_500m_2017249_aid0001,aid0001,2017-09-06 00:00:00+00:00,1668.0,175.0,4.0,5.0,,,1.0,20.0,
Psn_QC_500m_2017257_aid0001,aid0001,2017-09-14 00:00:00+00:00,1421.0,296.0,68.0,2.0,,,61.0,22.0,3.0
Psn_QC_500m_2017265_aid0001,aid0001,2017-09-22 00:00:00+00:00,1528.0,307.0,19.0,5.0,,,9.0,3.0,2.0
