File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD17A2HGF_061_Gpp_500m_doy2016361000000_aid0001,Gpp_500m,aid0001,2016-12-26,1873.0,0.0031,0.0386,"(0.0031,0.0386)",0.0115123,0.0051289,2.63e-05,0.013,0.0211,0.011,0.0031,0.0076
MOD17A2HGF_061_Gpp_500m_doy2017001000000_aid0001,Gpp_500m,aid0001,2017-01-01,1873.0,0.0045,0.0491,"(0.0045,0.0491)",0.0138553,0.0064573,4.17e-05,0.0155,0.0254,0.0128,0.0045,0.0088
MOD17A2HGF_061_Gpp_500m_doy2017009000000_aid0001,Gpp_500m,aid0001,2017-01-09,1873.0,0.004,0.0495,"(0.004,0.0495)",0.0127525,0.0065159,4.25e-05,0.015,0.025,0.0099,0.004,0.0081
MOD17A2HGF_061_Gpp_500m_doy2017017000000_aid0001,Gpp_500m,aid0001,2017-01-17,1873.0,0.0052,0.0568,"(0.0052,0.0568)",0.0140006,0.0073053,5.34e-05,0.0165,0.0271,0.0103,0.0052,0.0091
MOD17A2HGF_061_Gpp_500m_doy2017025000000_aid0001,Gpp_500m,aid0001,2017-01-25,1873.0,0.005,0.0605,"(0.005,0.0605)",0.014159,0.0075086,5.64e-05,0.0168,0.0273,0.0109,0.005,0.0098
MOD17A2HGF_061_Gpp_500m_doy2017033000000_aid0001,Gpp_500m,aid0001,2017-02-02,1873.0,0.0053,0.0666,"(0.0053,0.0666)",0.0151547,0.0087885,7.72e-05,0.0173,0.0285,0.012,0.0053,0.0098
MOD17A2HGF_061_Gpp_500m_doy2017041000000_aid0001,Gpp_500m,aid0001,2017-02-10,1873.0,0.0041,0.0489,"(0.0041,0.0489)",0.0135068,0.007283,5.3e-05,0.0161,0.0271,0.0109,0.0041,0.0087
MOD17A2HGF_061_Gpp_500m_doy2017049000000_aid0001,Gpp_500m,aid0001,2017-02-18,1873.0,0.0049,0.0703,"(0.0049,0.0703)",0.018339,0.0095973,9.21e-05,0.0213,0.0355,0.0148,0.0049,0.0116
MOD17A2HGF_061_Gpp_500m_doy2017057000000_aid0001,Gpp_500m,aid0001,2017-02-26,1873.0,0.0052,0.0745,"(0.0052,0.0745)",0.0183768,0.0093714,8.78e-05,0.0212,0.0361,0.0155,0.0052,0.0111
MOD17A2HGF_061_Gpp_500m_doy2017065000000_aid0001,Gpp_500m,aid0001,2017-03-06,1873.0,0.0051,0.0651,"(0.0051,0.0651)",0.0185752,0.0094202,8.87e-05,0.0212,0.0365,0.0154,0.0051,0.011
MOD17A2HGF_061_Gpp_500m_doy2017073000000_aid0001,Gpp_500m,aid0001,2017-03-14,1873.0,0.0047,0.0546,"(0.0047,0.0546)",0.0166493,0.0082823,6.86e-05,0.0197,0.0335,0.0142,0.0047,0.0104
MOD17A2HGF_061_Gpp_500m_doy2017081000000_aid0001,Gpp_500m,aid0001,2017-03-22,1873.0,0.0036,0.0536,"(0.0036,0.0536)",0.0132228,0.0063426,4.02e-05,0.0161,0.0267,0.0119,0.0036,0.0089
MOD17A2HGF_061_Gpp_500m_doy2017089000000_aid0001,Gpp_500m,aid0001,2017-03-30,1873.0,0.0057,0.0821,"(0.0057,0.0821)",0.0223332,0.0116839,0.0001365,0.0273,0.048,0.0194,0.0057,0.0135
MOD17A2HGF_061_Gpp_500m_doy2017097000000_aid0001,Gpp_500m,aid0001,2017-04-07,1873.0,0.0056,0.0835,"(0.0056,0.0835)",0.0215735,0.0112125,0.0001257,0.026,0.0452,0.0187,0.0056,0.0132
MOD17A2HGF_061_Gpp_500m_doy2017105000000_aid0001,Gpp_500m,aid0001,2017-04-15,1873.0,0.0055,0.0798,"(0.0055,0.0798)",0.0191382,0.0097162,9.44e-05,0.0233,0.0405,0.0161,0.0055,0.0117
MOD17A2HGF_061_Gpp_500m_doy2017113000000_aid0001,Gpp_500m,aid0001,2017-04-23,1873.0,0.0038,0.0608,"(0.0038,0.0608)",0.0143868,0.0071794,5.15e-05,0.0173,0.0294,0.0127,0.0038,0.0091
MOD17A2HGF_061_Gpp_500m_doy2017121000000_aid0001,Gpp_500m,aid0001,2017-05-01,1873.0,0.0032,0.0582,"(0.0032,0.0582)",0.013199,0.0064037,4.1e-05,0.0161,0.0273,0.0121,0.0032,0.0086
MOD17A2HGF_061_Gpp_500m_doy2017129000000_aid0001,Gpp_500m,aid0001,2017-05-09,1873.0,0.0031,0.0677,"(0.0031,0.0677)",0.0150754,0.0072825,5.3e-05,0.0185,0.0308,0.0135,0.0031,0.01
MOD17A2HGF_061_Gpp_500m_doy2017137000000_aid0001,Gpp_500m,aid0001,2017-05-17,1873.0,0.0029,0.0806,"(0.0029,0.0806)",0.0197321,0.0095295,9.08e-05,0.0256,0.0458,0.0193,0.0029,0.0121
MOD17A2HGF_061_Gpp_500m_doy2017145000000_aid0001,Gpp_500m,aid0001,2017-05-25,1873.0,0.0034,0.0729,"(0.0034,0.0729)",0.0192239,0.0088975,7.92e-05,0.0245,0.0414,0.0181,0.0034,0.013
MOD17A2HGF_061_Gpp_500m_doy2017153000000_aid0001,Gpp_500m,aid0001,2017-06-02,1873.0,0.0046,0.079,"(0.0046,0.079)",0.0238719,0.0103051,0.0001062,0.0292,0.0474,0.0221,0.0046,0.0167
MOD17A2HGF_061_Gpp_500m_doy2017161000000_aid0001,Gpp_500m,aid0001,2017-06-10,1873.0,0.0043,0.0746,"(0.0043,0.0746)",0.0249575,0.0109719,0.0001204,0.0316,0.0519,0.0245,0.0043,0.018
MOD17A2HGF_061_Gpp_500m_doy2017169000000_aid0001,Gpp_500m,aid0001,2017-06-18,1873.0,0.004,0.0605,"(0.004,0.0605)",0.0206621,0.0097356,9.48e-05,0.0259,0.0446,0.0188,0.004,0.0134
MOD17A2HGF_061_Gpp_500m_doy2017177000000_aid0001,Gpp_500m,aid0001,2017-06-26,1873.0,0.0031,0.058,"(0.0031,0.058)",0.0152576,0.0078052,6.09e-05,0.0201,0.0366,0.0144,0.0031,0.0088
MOD17A2HGF_061_Gpp_500m_doy2017185000000_aid0001,Gpp_500m,aid0001,2017-07-04,1873.0,0.0031,0.0525,"(0.0031,0.0525)",0.0139914,0.0074095,5.49e-05,0.0184,0.0332,0.0126,0.0031,0.0085
MOD17A2HGF_061_Gpp_500m_doy2017193000000_aid0001,Gpp_500m,aid0001,2017-07-12,1873.0,0.0026,0.0605,"(0.0026,0.0605)",0.0146637,0.0081046,6.57e-05,0.019,0.0349,0.0133,0.0026,0.0084
MOD17A2HGF_061_Gpp_500m_doy2017201000000_aid0001,Gpp_500m,aid0001,2017-07-20,1873.0,0.0028,0.0607,"(0.0028,0.0607)",0.0161604,0.008917,7.95e-05,0.0213,0.0392,0.015,0.0028,0.0093
MOD17A2HGF_061_Gpp_500m_doy2017209000000_aid0001,Gpp_500m,aid0001,2017-07-28,1873.0,0.0037,0.065,"(0.0037,0.065)",0.0227924,0.0103116,0.0001063,0.0292,0.05,0.0223,0.0037,0.0153
MOD17A2HGF_061_Gpp_500m_doy2017217000000_aid0001,Gpp_500m,aid0001,2017-08-05,1873.0,0.0033,0.0553,"(0.0033,0.0553)",0.0192511,0.0080659,6.51e-05,0.0248,0.0423,0.0186,0.0033,0.0131
MOD17A2HGF_061_Gpp_500m_doy2017225000000_aid0001,Gpp_500m,aid0001,2017-08-13,1873.0,0.0024,0.0596,"(0.0024,0.0596)",0.0212523,0.0095486,9.12e-05,0.0274,0.048,0.0204,0.0024,0.0136
MOD17A2HGF_061_Gpp_500m_doy2017233000000_aid0001,Gpp_500m,aid0001,2017-08-21,1873.0,0.0028,0.0636,"(0.0028,0.0636)",0.0282825,0.0103802,0.0001077,0.0354,0.058,0.0278,0.0028,0.0202
MOD17A2HGF_061_Gpp_500m_doy2017241000000_aid0001,Gpp_500m,aid0001,2017-08-29,1873.0,0.0026,0.06,"(0.0026,0.06)",0.0259664,0.0099095,9.82e-05,0.0334,0.0558,0.0253,0.0026,0.0181
MOD17A2HGF_061_Gpp_500m_doy2017249000000_aid0001,Gpp_500m,aid0001,2017-09-06,1873.0,0.0034,0.0772,"(0.0034,0.0772)",0.038651,0.0135301,0.0001831,0.0496,0.0772,0.039,0.0034,0.0277
