File,aid,Date,0,8,16,32,40,48,97,105,113
Psn_QC_500m_2013361_aid0001,aid0001,2013-12-27 00:00:00+00:00,1781,87.0,,,,,5.0,,
Psn_QC_500m_2014001_aid0001,aid0001,2014-01-01 00:00:00+00:00,1833,40.0,,,,,,,
Psn_QC_500m_2014009_aid0001,aid0001,2014-01-09 00:00:00+00:00,1779,91.0,2.0,1.0,,,,,
Psn_QC_500m_2014017_aid0001,aid0001,2014-01-17 00:00:00+00:00,1792,80.0,,1.0,,,,,
Psn_QC_500m_2014025_aid0001,aid0001,2014-01-25 00:00:00+00:00,1870,,,3.0,,,,,
Psn_QC_500m_2014033_aid0001,aid0001,2014-02-02 00:00:00+00:00,1770,96.0,6.0,,,,1.0,,
Psn_QC_500m_2014041_aid0001,aid0001,2014-02-10 00:00:00+00:00,1651,181.0,35.0,,,,4.0,2.0,
Psn_QC_500m_2014049_aid0001,aid0001,2014-02-18 00:00:00+00:00,1776,85.0,10.0,,,,1.0,1.0,
Psn_QC_500m_2014057_aid0001,aid0001,2014-02-26 00:00:00+00:00,1853,15.0,1.0,4.0,,,,,
Psn_QC_500m_2014065_aid0001,aid0001,2014-03-06 00:00:00+00:00,1852,21.0,,,,,,,
Psn_QC_500m_2014073_aid0001,aid0001,2014-03-14 00:00:00+00:00,1851,13.0,1.0,7.0,,,1.0,,
Psn_QC_500m_2014081_aid0001,aid0001,2014-03-22 00:00:00+00:00,1731,126.0,15.0,,,,1.0,,
Psn_QC_500m_2014089_aid0001,aid0001,2014-03-30 00:00:00+00:00,1684,150.0,17.0,,,,,22.0,
Psn_QC_500m_2014097_aid0001,aid0001,2014-04-07 00:00:00+00:00,1523,345.0,3.0,,,,2.0,,
Psn_QC_500m_2014105_aid0001,aid0001,2014-04-15 00:00:00+00:00,1601,207.0,63.0,1.0,1.0,,,,
Psn_QC_500m_2014113_aid0001,aid0001,2014-04-23 00:00:00+00:00,1049,773.0,15.0,1.0,,,16.0,17.0,2.0
Psn_QC_500m_2014121_aid0001,aid0001,2014-05-01 00:00:00+00:00,968,880.0,16.0,,,,,9.0,
Psn_QC_500m_2014129_aid0001,aid0001,2014-05-09 00:00:00+00:00,1693,177.0,3.0,,,,,,
Psn_QC_500m_2014137_aid0001,aid0001,2014-05-17 00:00:00+00:00,1306,529.0,27.0,,,,4.0,7.0,
Psn_QC_500m_2014145_aid0001,aid0001,2014-05-25 00:00:00+00:00,1543,259.0,71.0,,,,,,
Psn_QC_500m_2014153_aid0001,aid0001,2014-06-02 00:00:00+00:00,1847,26.0,,,,,,,
Psn_QC_500m_2014161_aid0001,aid0001,2014-06-10 00:00:00+00:00,1802,66.0,1.0,,,,4.0,,
Psn_QC_500m_2014169_aid0001,aid0001,2014-06-18 00:00:00+00:00,1349,384.0,7.0,,,,12.0,116.0,5.0
Psn_QC_500m_2014177_aid0001,aid0001,2014-06-26 00:00:00+00:00,1703,138.0,16.0,,,,7.0,7.0,2.0
Psn_QC_500m_2014185_aid0001,aid0001,2014-07-04 00:00:00+00:00,1486,314.0,69.0,,,,,1.0,3.0
Psn_QC_500m_2014193_aid0001,aid0001,2014-07-12 00:00:00+00:00,1392,410.0,51.0,,,,2.0,15.0,3.0
Psn_QC_500m_2014201_aid0001,aid0001,2014-07-20 00:00:00+00:00,16,564.0,45.0,,,,,1234.0,14.0
Psn_QC_500m_2014209_aid0001,aid0001,2014-07-28 00:00:00+00:00,1326,324.0,13.0,,,,6.0,200.0,4.0
Psn_QC_500m_2014217_aid0001,aid0001,2014-08-05 00:00:00+00:00,1261,436.0,108.0,,,,8.0,49.0,11.0
Psn_QC_500m_2014225_aid0001,aid0001,2014-08-13 00:00:00+00:00,880,534.0,323.0,1.0,,,9.0,126.0,
Psn_QC_500m_2014233_aid0001,aid0001,2014-08-21 00:00:00+00:00,1544,240.0,70.0,2.0,,,7.0,7.0,3.0
Psn_QC_500m_2014241_aid0001,aid0001,2014-08-29 00:00:00+00:00,255,976.0,161.0,,,,12.0,460.0,9.0
Psn_QC_500m_2014249_aid0001,aid0001,2014-09-06 00:00:00+00:00,1239,472.0,56.0,1.0,,,45.0,56.0,4.0
Psn_QC_500m_2014257_aid0001,aid0001,2014-09-14 00:00:00+00:00,1587,205.0,21.0,6.0,,,26.0,26.0,2.0
Psn_QC_500m_2014265_aid0001,aid0001,2014-09-22 00:00:00+00:00,1208,395.0,156.0,12.0,,,61.0,28.0,13.0
Psn_QC_500m_2014273_aid0001,aid0001,2014-09-30 00:00:00+00:00,1544,187.0,21.0,4.0,,,30.0,82.0,5.0
Psn_QC_500m_2014281_aid0001,aid0001,2014-10-08 00:00:00+00:00,1728,103.0,16.0,9.0,,,16.0,,1.0
Psn_QC_500m_2014289_aid0001,aid0001,2014-10-16 00:00:00+00:00,1797,66.0,,9.0,,,1.0,,
Psn_QC_500m_2014297_aid0001,aid0001,2014-10-24 00:00:00+00:00,1862,,,11.0,,,,,
Psn_QC_500m_2014305_aid0001,aid0001,2014-11-01 00:00:00+00:00,1861,2.0,,10.0,,,,,
Psn_QC_500m_2014313_aid0001,aid0001,2014-11-09 00:00:00+00:00,1828,37.0,2.0,4.0,,,2.0,,
Psn_QC_500m_2014321_aid0001,aid0001,2014-11-17 00:00:00+00:00,1650,208.0,6.0,8.0,,,1.0,,
Psn_QC_500m_2014329_aid0001,aid0001,2014-11-25 00:00:00+00:00,1693,125.0,28.0,6.0,,,21.0,,
Psn_QC_500m_2014337_aid0001,aid0001,2014-12-03 00:00:00+00:00,1866,6.0,,,,,1.0,,
Psn_QC_500m_2014345_aid0001,aid0001,2014-12-11 00:00:00+00:00,1865,4.0,,4.0,,,,,
Psn_QC_500m_2014353_aid0001,aid0001,2014-12-19 00:00:00+00:00,1872,1.0,,,,,,,
Psn_QC_500m_2014361_aid0001,aid0001,2014-12-27 00:00:00+00:00,1870,,,3.0,,,,,
Psn_QC_500m_2015001_aid0001,aid0001,2015-01-01 00:00:00+00:00,1870,,,3.0,,,,,
Psn_QC_500m_2015009_aid0001,aid0001,2015-01-09 00:00:00+00:00,1847,22.0,,3.0,,,1.0,,
Psn_QC_500m_2015017_aid0001,aid0001,2015-01-17 00:00:00+00:00,1843,30.0,,,,,,,
Psn_QC_500m_2015025_aid0001,aid0001,2015-01-25 00:00:00+00:00,1870,,,3.0,,,,,
Psn_QC_500m_2015033_aid0001,aid0001,2015-02-02 00:00:00+00:00,1867,,,6.0,,,,,
Psn_QC_500m_2015041_aid0001,aid0001,2015-02-10 00:00:00+00:00,1830,43.0,,,,,,,
Psn_QC_500m_2015049_aid0001,aid0001,2015-02-18 00:00:00+00:00,1789,80.0,2.0,2.0,,,,,
Psn_QC_500m_2015057_aid0001,aid0001,2015-02-26 00:00:00+00:00,1797,75.0,1.0,,,,,,
Psn_QC_500m_2015065_aid0001,aid0001,2015-03-06 00:00:00+00:00,1873,,,,,,,,
Psn_QC_500m_2015073_aid0001,aid0001,2015-03-14 00:00:00+00:00,1854,18.0,1.0,,,,,,
Psn_QC_500m_2015081_aid0001,aid0001,2015-03-22 00:00:00+00:00,1784,73.0,4.0,,,,12.0,,
Psn_QC_500m_2015089_aid0001,aid0001,2015-03-30 00:00:00+00:00,1829,43.0,1.0,,,,,,
Psn_QC_500m_2015097_aid0001,aid0001,2015-04-07 00:00:00+00:00,1619,254.0,,,,,,,
Psn_QC_500m_2015105_aid0001,aid0001,2015-04-15 00:00:00+00:00,1770,95.0,3.0,,,,5.0,,
Psn_QC_500m_2015113_aid0001,aid0001,2015-04-23 00:00:00+00:00,1835,37.0,1.0,,,,,,
Psn_QC_500m_2015121_aid0001,aid0001,2015-05-01 00:00:00+00:00,1546,315.0,12.0,,,,,,
Psn_QC_500m_2015129_aid0001,aid0001,2015-05-09 00:00:00+00:00,1469,362.0,26.0,3.0,,3.0,10.0,,
Psn_QC_500m_2015137_aid0001,aid0001,2015-05-17 00:00:00+00:00,1765,103.0,2.0,,,,3.0,,
Psn_QC_500m_2015145_aid0001,aid0001,2015-05-25 00:00:00+00:00,1306,525.0,27.0,,,,6.0,3.0,6.0
Psn_QC_500m_2015153_aid0001,aid0001,2015-06-02 00:00:00+00:00,1791,67.0,14.0,,,,1.0,,
