File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD17A2HGF_061_Gpp_500m_doy2013361000000_aid0001,Gpp_500m,aid0001,2013-12-27,1873.0,0.005,0.0364,"(0.005,0.0364)",0.0110168,0.0046615,2.17e-05,0.0122,0.0197,0.0105,0.005,0.0072
MOD17A2HGF_061_Gpp_500m_doy2014001000000_aid0001,Gpp_500m,aid0001,2014-01-01,1873.0,0.0059,0.0631,"(0.0059,0.0631)",0.0188684,0.0084376,7.12e-05,0.0212,0.0342,0.0177,0.0059,0.0125
MOD17A2HGF_061_Gpp_500m_doy2014009000000_aid0001,Gpp_500m,aid0001,2014-01-09,1873.0,0.0057,0.064,"(0.0057,0.064)",0.0174845,0.0079865,6.38e-05,0.0202,0.0332,0.0161,0.0057,0.0115
MOD17A2HGF_061_Gpp_500m_doy2014017000000_aid0001,Gpp_500m,aid0001,2014-01-17,1873.0,0.0059,0.0621,"(0.0059,0.0621)",0.0157976,0.0075069,5.64e-05,0.0186,0.0303,0.0128,0.0059,0.0106
MOD17A2HGF_061_Gpp_500m_doy2014025000000_aid0001,Gpp_500m,aid0001,2014-01-25,1873.0,0.0058,0.0645,"(0.0058,0.0645)",0.0162594,0.0082589,6.82e-05,0.0196,0.0335,0.0124,0.0058,0.0102
MOD17A2HGF_061_Gpp_500m_doy2014033000000_aid0001,Gpp_500m,aid0001,2014-02-02,1873.0,0.0047,0.0681,"(0.0047,0.0681)",0.0154285,0.0080688,6.51e-05,0.0185,0.0314,0.0124,0.0047,0.0099
MOD17A2HGF_061_Gpp_500m_doy2014041000000_aid0001,Gpp_500m,aid0001,2014-02-10,1873.0,0.0046,0.0682,"(0.0046,0.0682)",0.0153386,0.0072047,5.19e-05,0.0185,0.0305,0.0128,0.0046,0.0105
MOD17A2HGF_061_Gpp_500m_doy2014049000000_aid0001,Gpp_500m,aid0001,2014-02-18,1873.0,0.0057,0.0631,"(0.0057,0.0631)",0.0155982,0.0073081,5.34e-05,0.0187,0.0308,0.0135,0.0057,0.0106
MOD17A2HGF_061_Gpp_500m_doy2014057000000_aid0001,Gpp_500m,aid0001,2014-02-26,1873.0,0.008,0.0788,"(0.008,0.0788)",0.0197272,0.0100283,0.0001006,0.023,0.0401,0.0169,0.008,0.0116
MOD17A2HGF_061_Gpp_500m_doy2014065000000_aid0001,Gpp_500m,aid0001,2014-03-06,1873.0,0.0054,0.0689,"(0.0054,0.0689)",0.0186003,0.0095866,9.19e-05,0.0216,0.0362,0.0152,0.0054,0.0118
MOD17A2HGF_061_Gpp_500m_doy2014073000000_aid0001,Gpp_500m,aid0001,2014-03-14,1873.0,0.0049,0.0713,"(0.0049,0.0713)",0.0171854,0.0096659,9.34e-05,0.0194,0.0326,0.0139,0.0049,0.0105
