File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD17A2HGF_061_Gpp_500m_doy2023361000000_aid0001,Gpp_500m,aid0001,2023-12-27,221463.0,0.0005,0.053,"(0.0005,0.053)",0.0201584,0.0086073,7.41e-05,0.0252,0.0403,0.0204,0.0005,0.0151
MOD17A2HGF_061_Gpp_500m_doy2024001000000_aid0001,Gpp_500m,aid0001,2024-01-01,221463.0,0.0002,0.0859,"(0.0002,0.0859)",0.0348892,0.0152064,0.0002312,0.0447,0.0739,0.0356,0.0002,0.0252
MOD17A2HGF_061_Gpp_500m_doy2024009000000_aid0001,Gpp_500m,aid0001,2024-01-09,221463.0,0.0001,0.0921,"(0.0001,0.0921)",0.0339493,0.0165681,0.0002745,0.0448,0.079,0.0347,0.0001,0.022
MOD17A2HGF_061_Gpp_500m_doy2024017000000_aid0001,Gpp_500m,aid0001,2024-01-17,221463.0,0.0001,0.0847,"(0.0001,0.0847)",0.0287498,0.0142558,0.0002032,0.0372,0.0648,0.0291,0.0001,0.0188
MOD17A2HGF_061_Gpp_500m_doy2024025000000_aid0001,Gpp_500m,aid0001,2024-01-25,221463.0,0.0001,0.0949,"(0.0001,0.0949)",0.0283389,0.0146533,0.0002147,0.0372,0.0655,0.029,0.0001,0.0183
MOD17A2HGF_061_Gpp_500m_doy2024033000000_aid0001,Gpp_500m,aid0001,2024-02-02,221463.0,0.0006,0.1024,"(0.0006,0.1024)",0.028744,0.0153671,0.0002361,0.0382,0.0688,0.0282,0.0006,0.0178
MOD17A2HGF_061_Gpp_500m_doy2024041000000_aid0001,Gpp_500m,aid0001,2024-02-10,221463.0,0.0,0.0877,"(0.0,0.0877)",0.0230669,0.0142635,0.0002034,0.0322,0.0626,0.0222,0.0,0.0119
MOD17A2HGF_061_Gpp_500m_doy2024049000000_aid0001,Gpp_500m,aid0001,2024-02-18,221463.0,0.0002,0.092,"(0.0002,0.092)",0.0218475,0.0126256,0.0001594,0.0289,0.0532,0.0212,0.0002,0.0127
MOD17A2HGF_061_Gpp_500m_doy2024057000000_aid0001,Gpp_500m,aid0001,2024-02-26,221463.0,0.0003,0.0858,"(0.0003,0.0858)",0.0227264,0.012075,0.0001458,0.0301,0.0544,0.0216,0.0003,0.0139
MOD17A2HGF_061_Gpp_500m_doy2024065000000_aid0001,Gpp_500m,aid0001,2024-03-05,221463.0,0.0001,0.092,"(0.0001,0.092)",0.0270974,0.0138522,0.0001919,0.0359,0.0644,0.0259,0.0001,0.0169
MOD17A2HGF_061_Gpp_500m_doy2024073000000_aid0001,Gpp_500m,aid0001,2024-03-13,221463.0,0.0,0.0962,"(0.0,0.0962)",0.0235712,0.0169245,0.0002864,0.0349,0.0731,0.0215,0.0,0.0094
MOD17A2HGF_061_Gpp_500m_doy2024081000000_aid0001,Gpp_500m,aid0001,2024-03-21,221463.0,0.0004,0.0871,"(0.0004,0.0871)",0.023519,0.0126909,0.0001611,0.0306,0.0544,0.0218,0.0004,0.0147
MOD17A2HGF_061_Gpp_500m_doy2024089000000_aid0001,Gpp_500m,aid0001,2024-03-29,221463.0,0.0006,0.0824,"(0.0006,0.0824)",0.0287661,0.0123432,0.0001524,0.0361,0.0596,0.0283,0.0006,0.0204
MOD17A2HGF_061_Gpp_500m_doy2024097000000_aid0001,Gpp_500m,aid0001,2024-04-06,221463.0,0.0008,0.0989,"(0.0008,0.0989)",0.0397999,0.0149322,0.000223,0.0492,0.0781,0.0399,0.0016,0.0299
MOD17A2HGF_061_Gpp_500m_doy2024105000000_aid0001,Gpp_500m,aid0001,2024-04-14,221463.0,0.0008,0.0859,"(0.0008,0.0859)",0.0379625,0.0134907,0.000182,0.0472,0.0749,0.0382,0.0011,0.0287
MOD17A2HGF_061_Gpp_500m_doy2024113000000_aid0001,Gpp_500m,aid0001,2024-04-22,221463.0,0.0006,0.0797,"(0.0006,0.0797)",0.0360367,0.012916,0.0001668,0.0447,0.0711,0.0362,0.0007,0.0271
MOD17A2HGF_061_Gpp_500m_doy2024121000000_aid0001,Gpp_500m,aid0001,2024-04-30,221463.0,0.0006,0.0796,"(0.0006,0.0796)",0.0359549,0.0118823,0.0001412,0.0438,0.0676,0.0361,0.0041,0.0279
MOD17A2HGF_061_Gpp_500m_doy2024129000000_aid0001,Gpp_500m,aid0001,2024-05-08,221463.0,0.0008,0.0865,"(0.0008,0.0865)",0.0422055,0.0122053,0.000149,0.0498,0.0723,0.0425,0.0123,0.0348
MOD17A2HGF_061_Gpp_500m_doy2024137000000_aid0001,Gpp_500m,aid0001,2024-05-16,221463.0,0.0008,0.087,"(0.0008,0.087)",0.0435699,0.013812,0.0001908,0.0526,0.0796,0.0438,0.0076,0.0346
