File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD17A2HGF_061_Gpp_500m_doy2015361000000_aid0001,Gpp_500m,aid0001,2015-12-27,221463.0,0.0012,0.0585,"(0.0012,0.0585)",0.0240677,0.0096174,9.25e-05,0.0303,0.0496,0.0244,0.0012,0.0174
MOD17A2HGF_061_Gpp_500m_doy2016001000000_aid0001,Gpp_500m,aid0001,2016-01-01,221463.0,0.0016,0.0969,"(0.0016,0.0969)",0.0337828,0.0159609,0.0002548,0.0434,0.0747,0.0338,0.0016,0.0225
MOD17A2HGF_061_Gpp_500m_doy2016009000000_aid0001,Gpp_500m,aid0001,2016-01-09,221463.0,0.0014,0.0897,"(0.0014,0.0897)",0.0302421,0.0151623,0.0002299,0.0398,0.0707,0.0297,0.0014,0.0192
MOD17A2HGF_061_Gpp_500m_doy2016017000000_aid0001,Gpp_500m,aid0001,2016-01-17,221463.0,0.0013,0.081,"(0.0013,0.081)",0.0240817,0.0127738,0.0001632,0.0314,0.056,0.0236,0.0013,0.015
MOD17A2HGF_061_Gpp_500m_doy2016025000000_aid0001,Gpp_500m,aid0001,2016-01-25,221463.0,0.0018,0.0923,"(0.0018,0.0923)",0.024968,0.0140626,0.0001978,0.0328,0.0593,0.024,0.0018,0.0151
MOD17A2HGF_061_Gpp_500m_doy2016033000000_aid0001,Gpp_500m,aid0001,2016-02-02,221463.0,0.0,0.0863,"(0.0,0.0863)",0.0191492,0.0134801,0.0001817,0.0271,0.0548,0.0173,0.0,0.0086
MOD17A2HGF_061_Gpp_500m_doy2016041000000_aid0001,Gpp_500m,aid0001,2016-02-10,221463.0,0.0002,0.0882,"(0.0002,0.0882)",0.0170896,0.0134352,0.0001805,0.0243,0.0505,0.0147,0.0002,0.0068
MOD17A2HGF_061_Gpp_500m_doy2016049000000_aid0001,Gpp_500m,aid0001,2016-02-18,221463.0,0.0,0.0812,"(0.0,0.0812)",0.013791,0.0127091,0.0001615,0.0213,0.049,0.0113,0.0,0.0028
MOD17A2HGF_061_Gpp_500m_doy2016057000000_aid0001,Gpp_500m,aid0001,2016-02-26,221463.0,0.0007,0.0892,"(0.0007,0.0892)",0.0163769,0.0126894,0.000161,0.0231,0.048,0.0136,0.0007,0.0065
MOD17A2HGF_061_Gpp_500m_doy2016065000000_aid0001,Gpp_500m,aid0001,2016-03-05,221463.0,0.0012,0.0773,"(0.0012,0.0773)",0.017416,0.0102157,0.0001044,0.0225,0.0409,0.016,0.0012,0.0102
MOD17A2HGF_061_Gpp_500m_doy2016073000000_aid0001,Gpp_500m,aid0001,2016-03-13,221463.0,0.001,0.1017,"(0.001,0.1017)",0.020761,0.0140934,0.0001986,0.0279,0.0543,0.018,0.001,0.0103
MOD17A2HGF_061_Gpp_500m_doy2016081000000_aid0001,Gpp_500m,aid0001,2016-03-21,221463.0,0.0013,0.0893,"(0.0013,0.0893)",0.0185474,0.012576,0.0001582,0.0248,0.0476,0.0158,0.0013,0.0096
MOD17A2HGF_061_Gpp_500m_doy2016089000000_aid0001,Gpp_500m,aid0001,2016-03-29,221463.0,0.0017,0.0769,"(0.0017,0.0769)",0.0200843,0.0107125,0.0001148,0.0261,0.0468,0.0191,0.0017,0.0123
MOD17A2HGF_061_Gpp_500m_doy2016097000000_aid0001,Gpp_500m,aid0001,2016-04-06,221463.0,0.0022,0.0873,"(0.0022,0.0873)",0.0295367,0.0148802,0.0002214,0.0399,0.0733,0.0287,0.0022,0.0176
MOD17A2HGF_061_Gpp_500m_doy2016105000000_aid0001,Gpp_500m,aid0001,2016-04-14,221463.0,0.002,0.0829,"(0.002,0.0829)",0.0289416,0.0131352,0.0001725,0.0374,0.065,0.0289,0.002,0.019
